Permission (Detail);Name;Occurrence;XPath
ReadAccountsDetail;Account;1..n;OBReadAccount2/Data/Account/Account
ReadAccountsDetail;Servicer;0..1;OBReadAccount2/Data/Account/Servicer
ReadBeneficiariesDetail;CreditorAgent;0..1;OBReadBeneficiary2/Data/Beneficiary/CreditorAgent
ReadBeneficiariesDetail;CreditorAccount;1..1;OBReadBeneficiary2/Data/Beneficiary/CreditorAccount
ReadStandingOrdersDetail;CreditorAgent;0..1;OBReadStandingOrder3/Data/StandingOrder/CreditorAgent
ReadStandingOrdersDetail;CreditorAccount;1..1;OBReadStandingOrder3/Data/StandingOrder/CreditorAccount
ReadTransactionsDetail;TransactionInformation;0..1;OBReadTransaction3/Data/Transaction/TransactionInformation
ReadTransactionsDetail;Balance;0..1;OBReadTransaction3/Data/Transaction/Balance
ReadTransactionsDetail;MerchantDetails;0..1;OBReadTransaction3/Data/Transaction/MerchantDetails
ReadTransactionsDetail;CreditorAccount;0..1;OBReadTransaction3/Data/Transaction/CreditorAccount
ReadTransactionsDetail;DebtorAccount;0..1;OBReadTransaction2/Data/Transaction/DebtorAccount
ReadStatementsDetail;StatementAmount;0..n;OBReadStatement1/Data/Statement/StatementAmount
ReadScheduledPaymentsDetail;CreditorAgent;0..1;OBReadScheduledPayment1/Data/ScheduledPayment/CreditorAgent
ReadScheduledPaymentsDetail;CreditorAccount;1..1;OBReadScheduledPayment1/Data/ScheduledPayment/CreditorAccount
